Координаты: (177.0, 154.0); Яркость: 4054; Размер: 16; Тип: планета
Координаты: (169.5, 147.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (139.0, 89.5); Яркость: 6885; Размер: 30; Тип: звезда
Координаты: (27.0, 84.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (154.0, 75.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (174.0, 41.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (198.5, 189.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (211.5, 177.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (214.5, 176.5); Яркость: 2062; Размер: 9; Тип: планета
Координаты: (219.0, 173.0); Яркость: 3674; Размер: 16; Тип: планета
Координаты: (223.0, 163.0); Яркость: 876; Размер: 4; Тип: планета
Координаты: (227.5, 159.0); Яркость: 4225; Размер: 20; Тип: планета
Координаты: (205.0, 155.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (90.0, 123.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (28.5, 71.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (127.0, 42.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (173.5, 21.5); Яркость: 5840; Размер: 25; Тип: планета
Координаты: (86.5, 9.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (160.0, 8.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (15.5, 8.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (220.5, 3.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (9.5, 187.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (109.5, 135.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (179.5, 123.5); Яркость: 5914; Размер: 25; Тип: звезда
Координаты: (48.5, 122.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (132.5, 106.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (157.5, 79.0); Яркость: 3060; Размер: 12; Тип: планета
Координаты: (183.0, 54.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (118.5, 48.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (207.0, 40.0); Яркость: 4030; Размер: 16; Тип: планета
Координаты: (73.0, 34.0); Яркость: 3969; Размер: 16; Тип: планета
Координаты: (32.5, 30.0); Яркость: 4861; Размер: 20; Тип: планета
Координаты: (72.5, 18.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (183.5, 4.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (27.5, 187.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (213.5, 166.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (14.5, 144.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (101.0, 124.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (229.5, 83.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (83.0, 52.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (162.0, 12.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (148.5, 3.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (86.5, 180.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (203.5, 174.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (152.0, 173.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (32.0, 142.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (6.0, 142.0); Яркость: 4011; Размер: 16; Тип: планета
Координаты: (227.5, 129.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (105.5, 129.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (204.5, 125.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (63.5, 73.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (156.0, 65.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (215.5, 60.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (191.0, 52.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (105.5, 36.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (54.0, 10.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (166.5, 8.0); Яркость: 510; Размер: 2; Тип: планета
