Координаты: (238.0, 47.0); Яркость: 3989; Размер: 16; Тип: планета
Координаты: (163.0, 162.5); Яркость: 6674; Размер: 30; Тип: звезда
Координаты: (142.5, 161.0); Яркость: 1282; Размер: 6; Тип: планета
Координаты: (165.5, 155.0); Яркость: 6072; Размер: 30; Тип: планета
Координаты: (143.0, 149.5); Яркость: 423; Размер: 2; Тип: планета
Координаты: (155.5, 155.0); Яркость: 82760; Размер: 418; Тип: звезда
Координаты: (152.0, 138.5); Яркость: 418; Размер: 2; Тип: планета
Координаты: (101.0, 140.0); Яркость: 3960; Размер: 16; Тип: планета
Координаты: (136.5, 71.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (195.5, 37.5); Яркость: 5887; Размер: 25; Тип: звезда
Координаты: (173.5, 107.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (123.5, 41.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (108.0, 37.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (230.5, 10.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (81.0, 118.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (63.5, 128.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (81.0, 125.5); Яркость: 18490; Размер: 90; Тип: звезда
Координаты: (62.5, 122.0); Яркость: 1300; Размер: 6; Тип: планета
Координаты: (78.5, 113.5); Яркость: 16673; Размер: 85; Тип: звезда
Координаты: (55.0, 105.0); Яркость: 1743; Размер: 8; Тип: планета
Координаты: (67.0, 107.5); Яркость: 21949; Размер: 108; Тип: звезда
Координаты: (79.5, 99.0); Яркость: 15513; Размер: 78; Тип: звезда
Координаты: (79.0, 89.0); Яркость: 19114; Размер: 96; Тип: звезда
Координаты: (76.5, 86.5); Яркость: 230; Размер: 1; Тип: планета
Координаты: (100.0, 86.5); Яркость: 3687; Размер: 18; Тип: планета
Координаты: (172.5, 161.5); Яркость: 5898; Размер: 25; Тип: звезда
Координаты: (72.0, 51.5); Яркость: 16030; Размер: 72; Тип: звезда
Координаты: (62.5, 44.5); Яркость: 2215; Размер: 9; Тип: планета
Координаты: (147.5, 9.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (75.5, 136.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (52.5, 127.5); Яркость: 255; Размер: 1; Тип: планета
