Координаты: (179.5, 226.0); Яркость: 1469; Размер: 6; Тип: планета
Координаты: (144.5, 195.5); Яркость: 7796; Размер: 49; Тип: планета
Координаты: (157.0, 187.5); Яркость: 9580; Размер: 50; Тип: звезда
Координаты: (175.5, 183.5); Яркость: 217; Размер: 1; Тип: планета
Координаты: (252.5, 77.0); Яркость: 4399; Размер: 20; Тип: планета
Координаты: (178.5, 67.5); Яркость: 250; Размер: 1; Тип: планета
Координаты: (187.5, 56.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (197.5, 55.5); Яркость: 206; Размер: 1; Тип: планета
Координаты: (182.0, 56.5); Яркость: 1420; Размер: 6; Тип: планета
Координаты: (177.5, 56.5); Яркость: 6072; Размер: 27; Тип: планета
Координаты: (155.5, 49.5); Яркость: 231; Размер: 1; Тип: планета
Координаты: (138.5, 49.5); Яркость: 204; Размер: 1; Тип: планета
Координаты: (186.5, 45.5); Яркость: 55594; Размер: 285; Тип: звезда
Координаты: (191.0, 38.0); Яркость: 903; Размер: 4; Тип: планета
Координаты: (78.5, 32.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (228.5, 15.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (206.5, 16.0); Яркость: 1451; Размер: 6; Тип: планета
Координаты: (241.0, 204.0); Яркость: 911; Размер: 4; Тип: планета
Координаты: (79.0, 170.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (177.5, 41.5); Яркость: 751; Размер: 3; Тип: планета
Координаты: (173.0, 41.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (184.0, 39.5); Яркость: 4106; Размер: 18; Тип: планета
Координаты: (197.5, 34.5); Яркость: 248; Размер: 1; Тип: планета
Координаты: (187.5, 28.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (146.0, 30.0); Яркость: 3397; Размер: 16; Тип: планета
Координаты: (188.0, 24.0); Яркость: 850; Размер: 4; Тип: планета
Координаты: (180.0, 29.0); Яркость: 50122; Размер: 256; Тип: звезда
Координаты: (192.5, 19.5); Яркость: 254; Размер: 1; Тип: планета
Координаты: (185.5, 19.0); Яркость: 1497; Размер: 6; Тип: планета
Координаты: (209.0, 15.0); Яркость: 921; Размер: 4; Тип: планета
Координаты: (195.0, 14.0); Яркость: 979; Размер: 4; Тип: планета
Координаты: (133.5, 11.5); Яркость: 216; Размер: 1; Тип: планета
Координаты: (209.0, 11.0); Яркость: 876; Размер: 4; Тип: планета
Координаты: (108.5, 9.5); Яркость: 223; Размер: 1; Тип: планета
Координаты: (193.5, 8.5); Яркость: 3272; Размер: 15; Тип: планета
Координаты: (179.5, 7.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (187.5, 2.0); Яркость: 2524; Размер: 12; Тип: планета
Координаты: (226.5, 82.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (105.5, 176.0); Яркость: 426; Размер: 2; Тип: планета
Координаты: (104.5, 172.5); Яркость: 214; Размер: 1; Тип: планета
Координаты: (106.0, 169.5); Яркость: 477; Размер: 2; Тип: планета
Координаты: (99.0, 172.5); Яркость: 14462; Размер: 72; Тип: звезда
Координаты: (95.0, 168.0); Яркость: 4826; Размер: 24; Тип: планета
Координаты: (94.0, 163.0); Яркость: 951; Размер: 4; Тип: планета
Координаты: (81.5, 161.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (98.5, 158.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (36.0, 157.0); Яркость: 3776; Размер: 16; Тип: планета
Координаты: (81.0, 153.0); Яркость: 879; Размер: 4; Тип: планета
Координаты: (89.0, 151.5); Яркость: 2442; Размер: 12; Тип: планета
Координаты: (256.5, 148.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (241.5, 141.5); Яркость: 250; Размер: 1; Тип: планета
Координаты: (228.5, 137.0); Яркость: 1388; Размер: 6; Тип: планета
Координаты: (251.0, 136.5); Яркость: 2871; Размер: 12; Тип: планета
Координаты: (220.5, 133.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (223.0, 131.0); Яркость: 946; Размер: 4; Тип: планета
Координаты: (256.0, 122.0); Яркость: 894; Размер: 4; Тип: планета
Координаты: (244.0, 126.5); Яркость: 17388; Размер: 88; Тип: звезда
Координаты: (221.5, 119.0); Яркость: 3573; Размер: 18; Тип: планета
Координаты: (215.0, 121.0); Яркость: 7887; Размер: 40; Тип: планета
Координаты: (235.5, 118.0); Яркость: 10188; Размер: 56; Тип: планета
Координаты: (224.0, 114.5); Яркость: 478; Размер: 2; Тип: планета
Координаты: (244.5, 114.5); Яркость: 2053; Размер: 9; Тип: планета
Координаты: (253.0, 113.5); Яркость: 5252; Размер: 28; Тип: планета
Координаты: (226.5, 96.5); Яркость: 253; Размер: 1; Тип: планета
Координаты: (248.5, 101.5); Яркость: 51654; Размер: 285; Тип: звезда
Координаты: (242.5, 30.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (213.5, 220.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (189.5, 220.0); Яркость: 1395; Размер: 6; Тип: планета
Координаты: (142.5, 216.5); Яркость: 1990; Размер: 9; Тип: планета
Координаты: (253.5, 216.5); Яркость: 3236; Размер: 15; Тип: планета
Координаты: (247.0, 215.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (191.5, 209.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (175.5, 209.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (144.5, 209.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (253.0, 208.0); Яркость: 972; Размер: 4; Тип: планета
Координаты: (0.5, 69.0); Яркость: 374; Размер: 2; Тип: планета
Координаты: (1.5, 62.5); Яркость: 3247; Размер: 15; Тип: планета
Координаты: (0.5, 43.0); Яркость: 344; Размер: 2; Тип: планета
Координаты: (233.5, 18.0); Яркость: 1366; Размер: 6; Тип: планета
Координаты: (202.0, 14.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (242.5, 9.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (204.5, 7.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (246.0, 145.0); Яркость: 3245; Размер: 16; Тип: планета
Координаты: (251.5, 139.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (243.5, 139.0); Яркость: 461; Размер: 2; Тип: планета
Координаты: (254.5, 135.5); Яркость: 235; Размер: 1; Тип: планета
Координаты: (251.0, 133.5); Яркость: 417; Размер: 2; Тип: планета
Координаты: (245.5, 131.5); Яркость: 10008; Размер: 49; Тип: звезда
Координаты: (237.5, 128.5); Яркость: 243; Размер: 1; Тип: планета
Координаты: (252.0, 127.0); Яркость: 813; Размер: 4; Тип: планета
Координаты: (207.5, 105.0); Яркость: 453; Размер: 2; Тип: планета
Координаты: (208.5, 93.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (50.0, 88.0); Яркость: 3362; Размер: 16; Тип: планета
Координаты: (59.5, 77.5); Яркость: 240; Размер: 1; Тип: планета
Координаты: (255.0, 60.0); Яркость: 1843; Размер: 8; Тип: планета
Координаты: (241.5, 60.0); Яркость: 1358; Размер: 6; Тип: планета
Координаты: (247.5, 58.5); Яркость: 756; Размер: 3; Тип: планета
Координаты: (36.0, 50.0); Яркость: 964; Размер: 4; Тип: планета
Координаты: (90.0, 12.5); Яркость: 509; Размер: 2; Тип: планета
Координаты: (152.0, 192.5); Яркость: 2436; Размер: 12; Тип: планета
Координаты: (205.5, 190.5); Яркость: 1882; Размер: 9; Тип: планета
Координаты: (144.5, 184.0); Яркость: 2413; Размер: 12; Тип: планета
Координаты: (141.5, 178.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (211.5, 173.0); Яркость: 492; Размер: 2; Тип: планета
Координаты: (166.5, 162.0); Яркость: 504; Размер: 2; Тип: планета
Координаты: (165.0, 153.5); Яркость: 437; Размер: 2; Тип: планета
Координаты: (185.5, 150.0); Яркость: 403; Размер: 2; Тип: планета
Координаты: (142.5, 146.5); Яркость: 232; Размер: 1; Тип: планета
Координаты: (212.5, 145.5); Яркость: 248; Размер: 1; Тип: планета
Координаты: (192.0, 148.5); Яркость: 8749; Размер: 42; Тип: звезда
Координаты: (168.5, 145.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (5.5, 146.5); Яркость: 4843; Размер: 21; Тип: планета
Координаты: (199.5, 144.0); Яркость: 1401; Размер: 6; Тип: планета
Координаты: (196.0, 142.5); Яркость: 464; Размер: 2; Тип: планета
Координаты: (209.5, 141.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (208.5, 139.5); Яркость: 245; Размер: 1; Тип: планета
Координаты: (193.5, 139.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (203.0, 138.5); Яркость: 370; Размер: 2; Тип: планета
Координаты: (25.0, 134.0); Яркость: 869; Размер: 4; Тип: планета
Координаты: (11.0, 132.5); Яркость: 509; Размер: 2; Тип: планета
Координаты: (16.0, 137.0); Яркость: 33555; Размер: 192; Тип: звезда
Координаты: (3.0, 128.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (28.0, 128.5); Яркость: 4124; Размер: 20; Тип: планета
Координаты: (196.5, 130.5); Яркость: 26703; Размер: 187; Тип: звезда
Координаты: (183.5, 124.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (175.5, 124.5); Яркость: 204; Размер: 1; Тип: планета
Координаты: (0.5, 121.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (16.5, 116.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (32.5, 115.0); Яркость: 2566; Размер: 12; Тип: планета
Координаты: (6.5, 111.0); Яркость: 428; Размер: 2; Тип: планета
Координаты: (33.5, 110.5); Яркость: 765; Размер: 3; Тип: планета
Координаты: (16.0, 109.5); Яркость: 6433; Размер: 30; Тип: звезда
Координаты: (24.5, 107.0); Яркость: 1333; Размер: 6; Тип: планета
Координаты: (33.5, 105.5); Яркость: 747; Размер: 3; Тип: планета
Координаты: (22.5, 104.5); Яркость: 217; Размер: 1; Тип: планета
Координаты: (29.0, 104.0); Яркость: 896; Размер: 4; Тип: планета
Координаты: (10.0, 104.5); Яркость: 2448; Размер: 12; Тип: планета
Координаты: (32.5, 101.0); Яркость: 455; Размер: 2; Тип: планета
Координаты: (21.5, 100.5); Яркость: 244; Размер: 1; Тип: планета
Координаты: (6.5, 101.0); Яркость: 1385; Размер: 6; Тип: планета
Координаты: (31.0, 97.5); Яркость: 1294; Размер: 6; Тип: планета
Координаты: (3.5, 91.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (78.5, 219.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (101.5, 213.0); Яркость: 2516; Размер: 10; Тип: планета
Координаты: (73.5, 209.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (83.5, 208.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (50.5, 208.5); Яркость: 765; Размер: 3; Тип: планета
Координаты: (25.0, 208.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (4.0, 208.0); Яркость: 1017; Размер: 4; Тип: планета
Координаты: (105.5, 206.5); Яркость: 765; Размер: 3; Тип: планета
Координаты: (256.5, 76.5); Яркость: 249; Размер: 1; Тип: планета
Координаты: (254.5, 72.5); Яркость: 218; Размер: 1; Тип: планета
Координаты: (253.5, 70.5); Яркость: 224; Размер: 1; Тип: планета
Координаты: (252.5, 67.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (251.5, 48.5); Яркость: 245; Размер: 1; Тип: планета
Координаты: (253.0, 45.0); Яркость: 1816; Размер: 8; Тип: планета
Координаты: (254.5, 187.5); Яркость: 245; Размер: 1; Тип: планета
Координаты: (249.5, 177.5); Яркость: 656; Размер: 3; Тип: планета
Координаты: (256.0, 146.0); Яркость: 1675; Размер: 8; Тип: планета
Координаты: (252.0, 144.5); Яркость: 1380; Размер: 6; Тип: планета
Координаты: (256.0, 138.5); Яркость: 1264; Размер: 6; Тип: планета
Координаты: (51.0, 18.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (26.0, 18.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (0.5, 15.0); Яркость: 1526; Размер: 6; Тип: планета
Координаты: (11.5, 10.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (60.0, 8.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (35.0, 9.5); Яркость: 2523; Размер: 10; Тип: планета
Координаты: (0.5, 146.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (0.5, 126.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (10.5, 110.5); Яркость: 159; Размер: 1; Тип: планета
Координаты: (4.0, 104.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (184.0, 94.5); Яркость: 5639; Размер: 24; Тип: планета
Координаты: (185.5, 90.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (168.0, 92.5); Яркость: 32006; Размер: 168; Тип: звезда
Координаты: (191.0, 86.5); Яркость: 5032; Размер: 24; Тип: планета
Координаты: (149.0, 86.0); Яркость: 8632; Размер: 48; Тип: звезда
Координаты: (190.5, 80.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (156.5, 72.5); Яркость: 2093; Размер: 9; Тип: планета
Координаты: (240.5, 69.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (215.0, 68.5); Яркость: 1391; Размер: 6; Тип: планета
Координаты: (188.5, 66.0); Яркость: 1253; Размер: 6; Тип: планета
Координаты: (158.5, 65.5); Яркость: 226; Размер: 1; Тип: планета
Координаты: (201.0, 78.0); Яркость: 126285; Размер: 780; Тип: звезда
