Координаты: (43.5, 325.5); Яркость: 18300; Размер: 81; Тип: звезда
Координаты: (42.5, 311.0); Яркость: 2883; Размер: 12; Тип: планета
Координаты: (104.0, 296.5); Яркость: 2952; Размер: 12; Тип: планета
Координаты: (5.0, 210.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (240.5, 61.5); Яркость: 1275; Размер: 5; Тип: планета
Координаты: (233.0, 15.5); Яркость: 7215; Размер: 30; Тип: звезда
Координаты: (196.0, 281.5); Яркость: 25517; Размер: 110; Тип: звезда
Координаты: (27.5, 242.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (95.5, 57.5); Яркость: 226; Размер: 1; Тип: планета
Координаты: (115.5, 42.5); Яркость: 6039; Размер: 25; Тип: звезда
Координаты: (219.0, 9.5); Яркость: 24681; Размер: 110; Тип: звезда
Координаты: (32.0, 229.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (188.5, 165.5); Яркость: 18866; Размер: 81; Тип: звезда
Координаты: (196.5, 172.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (86.0, 96.5); Яркость: 92770; Размер: 420; Тип: звезда
Координаты: (240.5, 360.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (216.5, 356.0); Яркость: 16446; Размер: 72; Тип: звезда
Координаты: (125.5, 343.5); Яркость: 2295; Размер: 9; Тип: планета
Координаты: (217.0, 327.0); Яркость: 3852; Размер: 16; Тип: планета
Координаты: (228.5, 306.0); Яркость: 4868; Размер: 20; Тип: звезда
Координаты: (99.0, 282.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (121.0, 260.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (11.0, 252.0); Яркость: 32446; Размер: 144; Тип: звезда
Координаты: (103.0, 245.5); Яркость: 25050; Размер: 110; Тип: звезда
Координаты: (175.5, 228.5); Яркость: 11349; Размер: 49; Тип: звезда
Координаты: (149.5, 165.5); Яркость: 2260; Размер: 9; Тип: планета
Координаты: (124.0, 120.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (57.5, 105.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (4.0, 61.0); Яркость: 14180; Размер: 64; Тип: звезда
Координаты: (129.0, 24.0); Яркость: 8353; Размер: 36; Тип: звезда
Координаты: (212.5, 9.5); Яркость: 5961; Размер: 25; Тип: звезда
Координаты: (116.5, 276.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (102.0, 164.0); Яркость: 4006; Размер: 16; Тип: планета
Координаты: (41.0, 157.0); Яркость: 23021; Размер: 100; Тип: звезда
Координаты: (172.0, 128.0); Яркость: 8561; Размер: 36; Тип: звезда
Координаты: (124.5, 77.5); Яркость: 80129; Размер: 361; Тип: звезда
Координаты: (121.0, 50.5); Яркость: 1316; Размер: 6; Тип: планета
Координаты: (176.0, 339.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (58.5, 175.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (61.0, 151.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (74.5, 360.5); Яркость: 191; Размер: 1; Тип: планета
Координаты: (65.5, 360.0); Яркость: 2134; Размер: 10; Тип: планета
Координаты: (36.5, 358.0); Яркость: 2553; Размер: 12; Тип: планета
