Координаты: (231.5, 306.5); Яркость: 2224; Размер: 9; Тип: планета
Координаты: (34.5, 129.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (26.0, 26.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (53.5, 339.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (192.5, 318.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (83.5, 161.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (90.5, 124.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (90.5, 81.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (60.5, 6.5); Яркость: 7682; Размер: 35; Тип: звезда
Координаты: (158.0, 217.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (162.5, 160.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (186.5, 109.0); Яркость: 6772; Размер: 30; Тип: звезда
Координаты: (212.5, 88.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (72.5, 92.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (37.5, 48.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (164.0, 294.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (55.0, 260.5); Яркость: 4388; Размер: 20; Тип: планета
Координаты: (82.0, 254.5); Яркость: 4523; Размер: 20; Тип: планета
Координаты: (81.5, 342.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (52.5, 333.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (218.0, 244.0); Яркость: 7698; Размер: 36; Тип: звезда
Координаты: (106.5, 229.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (26.5, 192.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (184.0, 87.5); Яркость: 1528; Размер: 6; Тип: планета
Координаты: (199.5, 78.0); Яркость: 4404; Размер: 20; Тип: планета
Координаты: (179.0, 347.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (46.5, 304.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (104.5, 282.0); Яркость: 2847; Размер: 12; Тип: планета
Координаты: (49.5, 257.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (172.5, 249.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (68.5, 190.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (187.5, 99.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (78.5, 97.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (223.5, 91.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (182.0, 32.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (7.5, 16.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (74.5, 331.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (217.5, 328.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (170.5, 320.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (113.5, 255.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (26.0, 164.0); Яркость: 227905; Размер: 1064; Тип: звезда
Координаты: (10.5, 145.5); Яркость: 2099; Размер: 9; Тип: планета
Координаты: (26.5, 140.0); Яркость: 1313; Размер: 6; Тип: планета
Координаты: (201.5, 69.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (143.0, 109.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (24.5, 43.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (237.5, 148.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (76.5, 142.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (196.0, 139.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (62.5, 338.5); Яркость: 5506; Размер: 25; Тип: звезда
Координаты: (83.5, 309.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (159.5, 302.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (172.5, 275.0); Яркость: 2911; Размер: 12; Тип: планета
Координаты: (55.0, 170.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (101.5, 152.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (173.5, 117.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (153.0, 25.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (21.5, 321.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (140.5, 268.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (72.5, 247.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (83.5, 157.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (155.5, 157.0); Яркость: 2830; Размер: 12; Тип: планета
Координаты: (10.5, 150.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (146.5, 41.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (109.0, 329.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (163.0, 318.0); Яркость: 3785; Размер: 16; Тип: планета
Координаты: (136.0, 280.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (139.5, 257.0); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (175.5, 162.0); Яркость: 6867; Размер: 30; Тип: звезда
Координаты: (226.5, 9.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (83.0, 4.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (100.0, 349.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (225.0, 337.5); Яркость: 6668; Размер: 30; Тип: звезда
Координаты: (55.5, 281.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (76.5, 251.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (124.0, 155.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (190.5, 140.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (76.5, 37.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (63.0, 329.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (74.5, 328.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (184.5, 322.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (153.0, 322.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (79.5, 322.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (131.5, 322.0); Яркость: 1504; Размер: 6; Тип: планета
Координаты: (112.5, 321.5); Яркость: 2268; Размер: 9; Тип: планета
Координаты: (161.5, 321.0); Яркость: 3029; Размер: 12; Тип: планета
Координаты: (97.0, 320.0); Яркость: 3060; Размер: 12; Тип: планета
Координаты: (145.0, 318.5); Яркость: 2550; Размер: 10; Тип: планета
Координаты: (82.5, 316.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (194.0, 319.0); Яркость: 6115; Размер: 32; Тип: планета
Координаты: (177.0, 319.0); Яркость: 5986; Размер: 32; Тип: планета
Координаты: (170.5, 319.0); Яркость: 5341; Размер: 24; Тип: планета
Координаты: (153.5, 317.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (113.5, 316.5); Яркость: 765; Размер: 3; Тип: планета
Координаты: (130.0, 316.5); Яркость: 2424; Размер: 10; Тип: планета
Координаты: (171.5, 313.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (162.5, 314.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (98.5, 314.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (179.0, 312.0); Яркость: 2040; Размер: 8; Тип: планета
Координаты: (163.5, 310.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (154.5, 311.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (142.5, 312.0); Яркость: 3570; Размер: 18; Тип: планета
Координаты: (114.5, 311.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (192.0, 309.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (87.5, 315.5); Яркость: 11934; Размер: 75; Тип: планета
Координаты: (129.5, 309.5); Яркость: 3502; Размер: 15; Тип: планета
Координаты: (201.0, 238.0); Яркость: 3712; Размер: 16; Тип: планета
Координаты: (5.5, 50.0); Яркость: 510; Размер: 2; Тип: планета
