Координаты: (96.5, 135.5); Яркость: 140; Размер: 1; Тип: планета
Координаты: (90.0, 135.5); Яркость: 484; Размер: 2; Тип: планета
Координаты: (90.5, 108.5); Яркость: 221; Размер: 1; Тип: планета
Координаты: (84.0, 109.0); Яркость: 871; Размер: 4; Тип: планета
Координаты: (107.5, 108.0); Яркость: 1360; Размер: 6; Тип: планета
Координаты: (103.0, 108.0); Яркость: 845; Размер: 4; Тип: планета
Координаты: (96.5, 107.0); Яркость: 471; Размер: 2; Тип: планета
Координаты: (41.5, 106.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (118.0, 102.0); Яркость: 929; Размер: 4; Тип: планета
Координаты: (105.0, 102.0); Яркость: 2841; Размер: 12; Тип: планета
Координаты: (72.5, 101.5); Яркость: 250; Размер: 1; Тип: планета
Координаты: (95.0, 101.5); Яркость: 1380; Размер: 6; Тип: планета
Координаты: (41.0, 102.0); Яркость: 1566; Размер: 8; Тип: планета
Координаты: (47.5, 97.0); Яркость: 460; Размер: 2; Тип: планета
Координаты: (41.5, 97.5); Яркость: 755; Размер: 3; Тип: планета
Координаты: (86.5, 96.0); Яркость: 3330; Размер: 14; Тип: планета
Координаты: (47.5, 91.0); Яркость: 500; Размер: 2; Тип: планета
Координаты: (41.5, 91.5); Яркость: 749; Размер: 3; Тип: планета
Координаты: (25.0, 99.0); Яркость: 8474; Размер: 36; Тип: планета
Координаты: (19.0, 90.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (13.5, 90.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (59.0, 90.0); Яркость: 948; Размер: 4; Тип: планета
Координаты: (53.5, 90.0); Яркость: 504; Размер: 2; Тип: планета
Координаты: (269.0, 80.0); Яркость: 7992; Размер: 32; Тип: звезда
Координаты: (135.5, 68.0); Яркость: 7682122; Размер: 36856; Тип: звезда
Координаты: (262.0, 132.5); Яркость: 1334; Размер: 6; Тип: планета
Координаты: (268.0, 131.5); Яркость: 1380; Размер: 6; Тип: планета
Координаты: (270.0, 113.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (196.0, 30.0); Яркость: 982; Размер: 4; Тип: планета
Координаты: (190.0, 29.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (179.0, 30.0); Яркость: 971; Размер: 4; Тип: планета
Координаты: (173.0, 30.0); Яркость: 987; Размер: 4; Тип: планета
Координаты: (179.0, 24.0); Яркость: 1004; Размер: 4; Тип: планета
Координаты: (135.5, 68.0); Яркость: 7435956; Размер: 36856; Тип: звезда
Координаты: (107.0, 132.5); Яркость: 458; Размер: 2; Тип: планета
Координаты: (90.5, 132.0); Яркость: 479; Размер: 2; Тип: планета
Координаты: (100.5, 128.5); Яркость: 249; Размер: 1; Тип: планета
Координаты: (46.5, 130.5); Яркость: 988; Размер: 5; Тип: планета
Координаты: (105.0, 126.5); Яркость: 4204; Размер: 18; Тип: планета
Координаты: (48.5, 126.0); Яркость: 1447; Размер: 6; Тип: планета
Координаты: (35.5, 124.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (96.5, 121.5); Яркость: 251; Размер: 1; Тип: планета
Координаты: (112.0, 121.5); Яркость: 1320; Размер: 6; Тип: планета
Координаты: (106.5, 120.5); Яркость: 750; Размер: 3; Тип: планета
Координаты: (101.0, 121.0); Яркость: 1815; Размер: 8; Тип: планета
Координаты: (88.5, 121.0); Яркость: 2149; Размер: 10; Тип: планета
Координаты: (84.0, 121.0); Яркость: 930; Размер: 4; Тип: планета
Координаты: (73.0, 121.0); Яркость: 949; Размер: 4; Тип: планета
Координаты: (59.0, 120.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (52.5, 121.0); Яркость: 1343; Размер: 6; Тип: планета
Координаты: (19.0, 120.5); Яркость: 488; Размер: 2; Тип: планета
Координаты: (118.0, 120.5); Яркость: 1398; Размер: 6; Тип: планета
Координаты: (33.0, 122.0); Яркость: 12121; Размер: 60; Тип: планета
Координаты: (94.5, 115.5); Яркость: 92; Размер: 1; Тип: планета
Координаты: (118.5, 114.5); Яркость: 4993; Размер: 25; Тип: планета
Координаты: (112.5, 114.0); Яркость: 4193; Размер: 20; Тип: планета
Координаты: (107.0, 114.5); Яркость: 4000; Размер: 20; Тип: планета
Координаты: (101.0, 114.5); Яркость: 3980; Размер: 20; Тип: планета
Координаты: (79.5, 114.5); Яркость: 19842; Размер: 105; Тип: звезда
Координаты: (59.0, 114.5); Яркость: 3911; Размер: 20; Тип: планета
Координаты: (47.5, 117.0); Яркость: 34293; Размер: 170; Тип: звезда
Координаты: (25.0, 114.5); Яркость: 25999; Размер: 140; Тип: звезда
Координаты: (267.5, 101.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (262.5, 89.0); Яркость: 913; Размер: 4; Тип: планета
Координаты: (268.0, 85.0); Яркость: 2767; Размер: 12; Тип: планета
Координаты: (140.0, 79.0); Яркость: 1020; Размер: 4; Тип: планета
Координаты: (267.5, 74.0); Яркость: 398; Размер: 2; Тип: планета
Координаты: (268.0, 61.5); Яркость: 1296; Размер: 6; Тип: планета
Координаты: (254.5, 56.5); Яркость: 198; Размер: 1; Тип: планета
Координаты: (251.0, 55.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (59.0, 36.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (19.0, 37.0); Яркость: 870; Размер: 4; Тип: планета
Координаты: (53.0, 36.5); Яркость: 1255; Размер: 6; Тип: планета
Координаты: (30.5, 36.0); Яркость: 1354; Размер: 6; Тип: планета
Координаты: (36.0, 40.0); Яркость: 118950; Размер: 624; Тип: звезда
Координаты: (59.0, 30.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (53.0, 30.5); Яркость: 508; Размер: 2; Тип: планета
Координаты: (39.5, 30.5); Яркость: 252; Размер: 1; Тип: планета
Координаты: (30.5, 30.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (19.0, 30.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (13.5, 30.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (36.0, 31.0); Яркость: 1883; Размер: 8; Тип: планета
Координаты: (59.0, 25.5); Яркость: 489; Размер: 2; Тип: планета
Координаты: (53.0, 25.5); Яркость: 489; Размер: 2; Тип: планета
Координаты: (19.0, 25.0); Яркость: 943; Размер: 4; Тип: планета
Координаты: (13.5, 25.0); Яркость: 493; Размер: 2; Тип: планета
Координаты: (47.0, 20.5); Яркость: 481; Размер: 2; Тип: планета
Координаты: (59.0, 19.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (13.5, 19.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (30.5, 19.0); Яркость: 473; Размер: 2; Тип: планета
Координаты: (59.0, 13.5); Яркость: 477; Размер: 2; Тип: планета
Координаты: (48.5, 13.5); Яркость: 1963; Размер: 9; Тип: планета
Координаты: (31.0, 14.5); Яркость: 2227; Размер: 10; Тип: планета
Координаты: (13.5, 13.5); Яркость: 1874; Размер: 9; Тип: планета
Координаты: (46.5, 7.5); Яркость: 3346; Размер: 15; Тип: планета
Координаты: (36.5, 7.5); Яркость: 1869; Размер: 9; Тип: планета
Координаты: (38.5, 3.0); Яркость: 500; Размер: 2; Тип: планета
Координаты: (155.0, 2.5); Яркость: 1427; Размер: 6; Тип: планета
Координаты: (220.0, 1.0); Яркость: 1801; Размер: 8; Тип: планета
Координаты: (200.0, 1.0); Яркость: 10199; Размер: 48; Тип: звезда
Координаты: (75.0, 1.0); Яркость: 5006; Размер: 24; Тип: планета
Координаты: (59.0, 4.5); Яркость: 11123; Размер: 54; Тип: звезда
Координаты: (52.5, 3.5); Яркость: 6239; Размер: 35; Тип: планета
Координаты: (45.5, 1.5); Яркость: 3316; Размер: 15; Тип: планета
Координаты: (27.5, 3.0); Яркость: 11221; Размер: 54; Тип: звезда
Координаты: (14.5, 7.5); Яркость: 27286; Размер: 135; Тип: звезда
Координаты: (135.5, 68.0); Яркость: 6529285; Размер: 36856; Тип: звезда
Координаты: (268.0, 114.0); Яркость: 2684; Размер: 12; Тип: планета
Координаты: (262.0, 114.0); Яркость: 1012; Размер: 4; Тип: планета
Координаты: (262.5, 108.5); Яркость: 1930; Размер: 9; Тип: планета
Координаты: (267.5, 103.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (262.5, 102.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (267.5, 90.0); Яркость: 447; Размер: 2; Тип: планета
Координаты: (269.0, 80.5); Яркость: 11762; Размер: 60; Тип: планета
Координаты: (269.0, 54.0); Яркость: 1987; Размер: 8; Тип: планета
Координаты: (209.0, 54.0); Яркость: 1890; Размер: 8; Тип: планета
Координаты: (219.5, 52.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (214.5, 51.0); Яркость: 505; Размер: 2; Тип: планета
Координаты: (262.5, 49.5); Яркость: 220; Размер: 1; Тип: планета
Координаты: (269.5, 49.0); Яркость: 1455; Размер: 6; Тип: планета
Координаты: (203.5, 49.0); Яркость: 446; Размер: 2; Тип: планета
Координаты: (209.0, 48.5); Яркость: 2648; Размер: 12; Тип: планета
Координаты: (213.5, 43.0); Яркость: 1403; Размер: 6; Тип: планета
Координаты: (90.5, 24.5); Яркость: 757; Размер: 3; Тип: планета
Координаты: (84.5, 19.5); Яркость: 246; Размер: 1; Тип: планета
Координаты: (36.5, 20.0); Яркость: 500; Размер: 2; Тип: планета
Координаты: (106.0, 19.0); Яркость: 1019; Размер: 4; Тип: планета
Координаты: (100.0, 19.0); Яркость: 767; Размер: 4; Тип: планета
Координаты: (90.5, 19.0); Яркость: 408; Размер: 2; Тип: планета
Координаты: (31.0, 19.0); Яркость: 807; Размер: 4; Тип: планета
Координаты: (25.5, 19.5); Яркость: 680; Размер: 3; Тип: планета
Координаты: (95.5, 15.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (35.5, 15.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (267.5, 14.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (262.0, 15.0); Яркость: 904; Размер: 4; Тип: планета
Координаты: (197.5, 14.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (100.5, 13.5); Яркость: 248; Размер: 1; Тип: планета
Координаты: (90.5, 13.5); Яркость: 217; Размер: 1; Тип: планета
Координаты: (30.5, 13.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (269.0, 8.5); Яркость: 990; Размер: 4; Тип: планета
Координаты: (256.0, 8.5); Яркость: 499; Размер: 2; Тип: планета
Координаты: (237.0, 9.0); Яркость: 994; Размер: 4; Тип: планета
Координаты: (220.0, 9.0); Яркость: 980; Размер: 4; Тип: планета
Координаты: (209.0, 8.5); Яркость: 456; Размер: 2; Тип: планета
Координаты: (203.5, 9.0); Яркость: 1428; Размер: 6; Тип: планета
Координаты: (197.0, 9.0); Яркость: 960; Размер: 4; Тип: планета
Координаты: (191.5, 8.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (261.0, 8.5); Яркость: 2594; Размер: 12; Тип: планета
Координаты: (231.0, 8.5); Яркость: 1362; Размер: 6; Тип: планета
Координаты: (140.0, 1.5); Яркость: 1530; Размер: 6; Тип: планета
Координаты: (135.5, 66.0); Яркость: 7655513; Размер: 35772; Тип: звезда
Координаты: (74.5, 131.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (91.5, 131.0); Яркость: 468; Размер: 2; Тип: планета
Координаты: (80.0, 125.5); Яркость: 461; Размер: 2; Тип: планета
Координаты: (255.5, 76.5); Яркость: 23070; Размер: 115; Тип: звезда
Координаты: (264.0, 72.0); Яркость: 3255; Размер: 16; Тип: планета
Координаты: (258.0, 71.5); Яркость: 2478; Размер: 12; Тип: планета
Координаты: (252.5, 71.5); Яркость: 1834; Размер: 9; Тип: планета
Координаты: (247.0, 71.5); Яркость: 3916; Размер: 20; Тип: планета
Координаты: (263.5, 65.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (258.5, 65.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (246.5, 65.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (2.0, 64.5); Яркость: 997; Размер: 4; Тип: планета
Координаты: (264.0, 54.0); Яркость: 1776; Размер: 8; Тип: планета
Координаты: (258.5, 54.0); Яркость: 1344; Размер: 6; Тип: планета
Координаты: (252.5, 54.0); Яркость: 1322; Размер: 6; Тип: планета
Координаты: (247.0, 54.0); Яркость: 1804; Размер: 8; Тип: планета
Координаты: (2.5, 56.5); Яркость: 8729; Размер: 35; Тип: звезда
Координаты: (264.0, 48.0); Яркость: 891; Размер: 4; Тип: планета
Координаты: (258.5, 48.0); Яркость: 464; Размер: 2; Тип: планета
Координаты: (247.0, 48.0); Яркость: 901; Размер: 4; Тип: планета
Координаты: (135.5, 68.0); Яркость: 8258520; Размер: 36856; Тип: звезда
Координаты: (262.5, 134.5); Яркость: 1806; Размер: 9; Тип: планета
Координаты: (257.0, 134.0); Яркость: 867; Размер: 4; Тип: планета
Координаты: (251.0, 133.5); Яркость: 417; Размер: 2; Тип: планета
Координаты: (123.5, 133.5); Яркость: 220; Размер: 1; Тип: планета
Координаты: (240.5, 134.0); Яркость: 4233; Размер: 20; Тип: планета
Координаты: (203.5, 132.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (197.5, 132.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (192.0, 132.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (186.5, 132.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (157.5, 132.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (78.5, 132.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (73.5, 132.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (56.5, 132.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (217.5, 132.0); Яркость: 453; Размер: 2; Тип: планета
Координаты: (132.5, 132.5); Яркость: 1773; Размер: 9; Тип: планета
Координаты: (14.0, 132.0); Яркость: 938; Размер: 4; Тип: планета
Координаты: (138.5, 132.0); Яркость: 2418; Размер: 12; Тип: планета
Координаты: (127.0, 132.0); Яркость: 3148; Размер: 16; Тип: планета
Координаты: (103.5, 132.0); Яркость: 2480; Размер: 12; Тип: планета
Координаты: (98.0, 131.5); Яркость: 2526; Размер: 12; Тип: планета
Координаты: (144.0, 131.5); Яркость: 3955; Размер: 20; Тип: планета
Координаты: (6.5, 113.0); Яркость: 1356; Размер: 6; Тип: планета
Координаты: (3.5, 110.5); Яркость: 8440; Размер: 49; Тип: планета
Координаты: (85.5, 30.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (57.0, 30.0); Яркость: 979; Размер: 4; Тип: планета
Координаты: (2.0, 33.0); Яркость: 7988; Размер: 32; Тип: звезда
Координаты: (91.5, 23.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (73.5, 24.0); Яркость: 503; Размер: 2; Тип: планета
Координаты: (166.0, 9.5); Яркость: 4489; Размер: 18; Тип: планета
Координаты: (135.5, 68.0); Яркость: 7855677; Размер: 36856; Тип: звезда
Координаты: (233.5, 101.0); Яркость: 1488; Размер: 6; Тип: планета
Координаты: (6.5, 101.0); Яркость: 2376; Размер: 10; Тип: планета
Координаты: (240.0, 98.5); Яркость: 3417; Размер: 14; Тип: планета
Координаты: (6.5, 96.0); Яркость: 1382; Размер: 6; Тип: планета
Координаты: (239.5, 90.5); Яркость: 243; Размер: 1; Тип: планета
Координаты: (269.5, 90.0); Яркость: 510; Размер: 2; Тип: планета
Координаты: (229.5, 89.5); Яркость: 240; Размер: 1; Тип: планета
Координаты: (6.0, 90.0); Яркость: 998; Размер: 4; Тип: планета
Координаты: (243.5, 85.0); Яркость: 3201; Размер: 14; Тип: планета
Координаты: (234.0, 85.0); Яркость: 2730; Размер: 12; Тип: планета
Координаты: (6.5, 85.0); Яркость: 1307; Размер: 6; Тип: планета
Координаты: (240.0, 78.0); Яркость: 985; Размер: 4; Тип: планета
Координаты: (239.5, 73.5); Яркость: 251; Размер: 1; Тип: планета
Координаты: (18.5, 73.5); Яркость: 230; Размер: 1; Тип: планета
Координаты: (9.0, 74.0); Яркость: 794; Размер: 4; Тип: планета
Координаты: (2.5, 73.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (245.5, 73.0); Яркость: 504; Размер: 2; Тип: планета
Координаты: (222.5, 72.5); Яркость: 254; Размер: 1; Тип: планета
Координаты: (256.5, 67.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (246.0, 68.5); Яркость: 1267; Размер: 6; Тип: планета
Координаты: (262.5, 67.0); Яркость: 467; Размер: 2; Тип: планета
Координаты: (222.5, 67.0); Яркость: 471; Размер: 2; Тип: планета
Координаты: (217.0, 67.0); Яркость: 950; Размер: 4; Тип: планета
Координаты: (245.5, 61.0); Яркость: 1253; Размер: 6; Тип: планета
Координаты: (216.5, 59.5); Яркость: 7057; Размер: 35; Тип: звезда
Координаты: (25.0, 56.0); Яркость: 964; Размер: 4; Тип: планета
Координаты: (14.0, 56.0); Яркость: 1007; Размер: 4; Тип: планета
Координаты: (169.0, 42.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (84.5, 42.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (14.0, 42.5); Яркость: 510; Размер: 2; Тип: планета
Координаты: (257.0, 42.0); Яркость: 982; Размер: 4; Тип: планета
Координаты: (245.5, 42.0); Яркость: 1289; Размер: 6; Тип: планета
Координаты: (235.0, 42.0); Яркость: 1821; Размер: 8; Тип: планета
Координаты: (223.0, 42.0); Яркость: 992; Размер: 4; Тип: планета
Координаты: (217.5, 42.0); Яркость: 504; Размер: 2; Тип: планета
Координаты: (192.0, 42.0); Яркость: 992; Размер: 4; Тип: планета
Координаты: (186.5, 42.0); Яркость: 1377; Размер: 6; Тип: планета
Координаты: (175.5, 42.0); Яркость: 1415; Размер: 6; Тип: планета
Координаты: (126.5, 41.5); Яркость: 255; Размер: 1; Тип: планета
Координаты: (79.0, 42.0); Яркость: 1007; Размер: 4; Тип: планета
